Language,Description,Service
C#,Stores the items in the user's shopping cart in Redis and retrieves it.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/cartservice
Go,"Retrieves user cart, prepares order and orchestrates the payment, shipping and the email notification.",https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/checkoutservice
Go,Provides the list of products from a JSON file and ability to search products and get individual products.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/productcatalogservice
Python,Sends users an order confirmation email (mock).,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/emailservice
Node.js,Charges the given credit card info (mock) with the given amount and returns a transaction ID.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/paymentservice
Python,Recommends other products based on what's given in the cart.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/recommendationservice
Python/Locust,Continuously sends requests imitating realistic user shopping flows to the frontend.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/loadgenerator
Java,Provides text ads based on given context words.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/adservice
Go,Exposes an HTTP server to serve the website. Does not require signup/login and generates session IDs for all users automatically.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/frontend
Go,Gives shipping cost estimates based on the shopping cart. Ships items to the given address (mock),https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/shippingservice
Node.js,Converts one money amount to another currency. Uses real values fetched from European Central Bank. It's the highest QPS service.,https://github.com/GoogleCloudPlatform/microservices-demo/blob/main/src/currencyservice
